id	signature	author	title	first_line	genre_subtitle	source.name	place	year	volume	number	section	page	type	translation	canon_or_not	meter	razmer	regularity	claus	rhyme	graphic_stanzas	stanza_model	stanza_type	other	Nlines	narrator	dir_speech
1	NA	Алексеев П.Ф.	Могила	Во сыром бору могила	баллада	Лирические стихотворения и сказки П. Ф. Алексеева	Дерпт	1840	NA	NA	NA	73-75	col	NA	periphery	Х	Х4	reg	жжмм	rhymed	TRUE	Х4AAbb	катрен	NA	44	heterodiegetic	TRUE
2	NA	Алексеев П.Ф.	Наяда	В серебре живом каскада	NA	Лирические стихотворения и сказки П. Ф. Алексеева	Дерпт	1840	NA	NA	NA	5	col	NA	periphery	Х	Х4	reg	жжмжжм	rhymed	FALSE	Х4AAbCCb	шестистишие	NA	12	homodiegetic	FALSE
3	NA	Алексеев П.Ф.	Разбойник	Ночь, чернее угля с сажей	NA	Лирические стихотворения и сказки П. Ф. Алексеева	Дерпт	1840	NA	NA	NA	76-77	col	NA	periphery	Х	Х4	reg	ж-м	rhymed	FALSE	unreg	вольная рифмовка	NA	42	heterodiegetic	TRUE
4	NA	Алексеев П.Ф.	Ночной ездок	Над безмолвною пустыней	баллада	Лирические стихотворения и сказки П. Ф. Алексеева	Дерпт	1840	NA	NA	NA	78-79	col	NA	periphery	Х	Х4	reg	жмжм	rhymed	TRUE	Х4AbAb	катрен	рефрен (строфы)	36	heterodiegetic	FALSE
5	NA	Демидов М. А.	Званые гости	Близ Ревеля рыцарь Гогаузен жил	NA	Дельные безделки. Стихотворения М. Демидова. В 2-х отд.	М.	1840	NA	NA	NA	41-44	col	NA	periphery	Ам	Ам4	reg	мм	rhymed	TRUE	Ам4aa	двустишие	NA	72	heterodiegetic	TRUE
6	NA	Долгоруков А. И.	Роковой удар	Чернело небо, меркнул свет	NA	Мои счастливейшие минуты в жизни. Стихотворения кн. Александра Ивановича Долгорукого	М.	1840	NA	NA	NA	71-72	col	NA	periphery	Я	Я4	reg	мжмж	rhymed	FALSE	Я4aBaB	четверостишие	NA	24	heterodiegetic	FALSE
7	NA	Долгоруков А. И.	***	Свищет ветер и бушует	романс	Мои счастливейшие минуты в жизни. Стихотворения кн. Александра Ивановича Долгорукого	М.	1840	NA	NA	NA	125-126	col	NA	periphery	Х	Х4	reg	жмжм	rhymed	TRUE	Х4AbAb	катрен	рефрен (строфы)	28	heterodiegetic	TRUE
8	NA	Фет А. А.	Похищение из гарема	Кто в ночи при луне открывает окно?	Баллады	Лирический пантеон А. Ф.	М.	1840	NA	NA	NA	10	col	NA	canon	Ан	Ан43	reg	мжмж	rhymed	TRUE	Ан43aBaB	катрен	NA	28	heterodiegetic	TRUE
9	NA	Фет А. А.	Замок Рауфенбах	На гранит ступает твердо	Баллады	Лирический пантеон А. Ф.	М.	1840	NA	NA	NA	11-13	col	NA	canon	Х	Х4	reg	жмжм	rhymed	FALSE	Х4AbAb	четверостишие	NA	72	heterodiegetic	FALSE
10	NA	Фет А. А.	Удавленник	Ужин сняли. Слава Богу	Баллады	Лирический пантеон А. Ф.	М.	1840	NA	NA	NA	13	col	NA	canon	Х	Х4	reg	жмжм	rhymed	TRUE	Х4AbAb	катрен	полурефрен	28	homodiegetic	FALSE
11	NA	Фет А. А.	Безумная	Ах! не плачь и не тужи	разд. Лирические стихотворения	Лирический пантеон А. Ф.	М.	1840	NA	NA	NA	14-15	col	NA	canon	Х	Х443	reg	ммжммж	rhymed	TRUE	Х443443aaBccB	шестистишие	NA	54	homodiegetic	FALSE
12	NA	Лермонтов М. Ю.	Русалка	Русалка плыла по реке голубой	NA	Стихотворения М.Лермонтова	СПб.	1840	NA	NA	NA	49-51	col	NA	canon	ТПА	Ам/Ан43	reg	мммм	rhymed	TRUE	Ам/Ан43aabb	катрен	NA	28	heterodiegetic	TRUE
13	NA	Лермонтов М. Ю.	Дары Терека	Терек воет, дик и злобен	NA	Стихотворения М.Лермонтова	СПб.	1840	NA	NA	NA	73-77	col	NA	canon	Х	Х4	reg	жмжм	rhymed	FALSE	Х4AbAb	четверостишие	NA	76	mixed	TRUE
14	NA	Лермонтов М. Ю.	Три пальмы	В песчаных степях аравийской земли	NA	Стихотворения М.Лермонтова	СПб.	1840	NA	NA	NA	53-55	col	NA	canon	Ам	Ам4	reg	ммжжмм	rhymed	TRUE	Ам4aaBBcc	шестистишие	NA	60	heterodiegetic	TRUE
15	М. Лермонтов	Лермонтов Ю. М.	Воздушный корабль	По синим волнам океана	NA	ОЗ	СПб.	1840	X	№5	III	1-3	per	J. C. von Zedlitz	canon	Ам	Ам3	reg	жмжм	rhymed	TRUE	Ам3AbAb	катрен	NA	72	heterodiegetic	FALSE
16	NA	Лермонтов М. Ю.	Казачья колыбельная	Спи, младенец мой прекрасный	NA	Стихотворения М.Лермонтова	СПб.	1840	NA	NA	NA	89-92	col	NA	canon	Х	Х43	reg	жмжмжмжм	rhymed	TRUE	Х43AbAbCdCd	восьмистишие	рефрен (перекрестная рифма) в конце строф	48	homodiegetic	TRUE
17	NA	Некрасов Н. А.	Ворон	Не шум домовых на полночном пиру	баллада	Мечты и звуки. Стихотворения Н.Н	СПб.	1840	NA	NA	NA	47-50	col	NA	canon	Ам	Ам43	reg	мжмжмжмжмм	rhymed	FALSE	Ам4343434344aBaBcDcDee	восьмистишие плюс двустишие	NA	88	heterodiegetic	TRUE
18	NA	Некрасов Н. А.	Рыцарь	Не жалобной чайки могильные крики	баллада	Мечты и звуки. Стихотворения Н.Н	СПб.	1840	NA	NA	NA	51-53	col	NA	canon	Ам	Ам4	reg	жмжм	rhymed	FALSE	Ам4AbAb	четверостишие	NA	56	heterodiegetic	TRUE
19	NA	Некрасов Н. А.	Водяной	Меня из-под солнца сманил Водяной	баллада	Мечты и звуки. Стихотворения Н.Н	СПб.	1840	NA	NA	NA	53-55	col	NA	canon	Ам	Ам43	reg	мжмжмжмжмм	rhymed	TRUE	Ам4343434344aBaBcDcDee	восьмистишие плюс двустишие	NA	50	heterodiegetic	TRUE
21	NA	[Н.И.]	Грусть по милом	Не роса жемчужна на луга падет	NA	Стихотворения Н.И.	М.	1840	NA	NA	NA	33-34	col	NA	periphery	Х	Х6ц.	reg	мм	rhymed	TRUE	Х6aa	двустишие	цезурн. наращения Х3д+Х3м	16	mixed	TRUE
23	NA	[Н.И.]	Мертвец	Поздно, ночью и одна	баллада	Стихотворения Н.И.	М.	1840	NA	NA	NA	65-69	col	NA	periphery	Х	Х4	reg	м-ж	rhymed	TRUE	unreg	свободные строфы	превалирует катрен с перекрестной рифм.	95	heterodiegetic	TRUE
24	NA	Папкевич А.	Цветы	Небывалая вина	Баллада из простонародного рассказа	Стихотворения А. Папкевича	СПб.	1840	NA	NA	NA	27-49	col	NA	periphery	Х	Х4	reg	ммжж	rhymed	FALSE	Х4aaBB	четверостишие	NA	382	heterodiegetic	TRUE
25	Иван Ваненко	Башмаков И. И.	***	По морю, по морю	NA	Песни русские Ивана Ваненко	М.	1841	NA	NA	NA	15-16	col	NA	BP	ПМФ	Д2+Ам2+Х3	unreg	д	unrhymed	TRUE	unreg	графически объединены 10 сторк	NA	30	heterodiegetic	TRUE
26	NA	Миньят Ю.	Бор	Глубоко, Бор, в память мне врезался ты	NA	Стихотворения воспитанника V класса Виленского дворянского института Юлия Миньята	Вильно	1841	NA	NA	NA	6-7	col	NA	periphery	Ам	Ам443443	reg	ммжммж	rhymed	TRUE	Ам443443aaBccB	шестистишие	NA	42	homodiegetic	FALSE
28	NA	Миньят Ю.	Русалка	Над озером рыбак стоял	NA	Стихотворения воспитанника V класса Виленского дворянского института Юлия Миньята	Вильно	1841	NA	NA	NA	37-38	col	NA	periphery	Я	Я4	reg	ж-м	rhymed	TRUE	unreg	пятистишие	превалирует AbAAb	35	heterodiegetic	FALSE
29	NA	Миньят Ю.	Альпийский охотник	Не желаешь ли весною	NA	Стихотворения воспитанника V класса Виленского дворянского института Юлия Миньята	Вильно	1841	NA	NA	NA	48-49	col	J. C. F. von Schiller	periphery	Х	Х4	reg	жмжмжж	rhymed	TRUE	Х4AbAbCC	шестистишие	NA	48	heterodiegetic	TRUE
30	NA	Миньят Ю.	Прощание	Прощай, прощай, моя краса!	NA	Стихотворения воспитанника V класса Виленского дворянского института Юлия Миньята	Вильно	1841	NA	NA	NA	48-49	col	NA	periphery	Я	Я43443	reg	мжммж	rhymed	TRUE	Я43443aBaaB	пятистишие	NA	25	heterodiegetic	TRUE
31	NA	Ростопчина Е. П.	Песни Трувера	Певец мой, приблизься!.. святых вдохновений	NA	Стихотворения гр. Е.Ростопчиной. Ч.1	СПб.	1841	NA	NA	NA	129-133	col	NA	BP	ПМК	Ам4+ЯВ	reg	жмжмжмжж	rhymed	TRUE	Ам4AbAbAbCC+ЯВ	восьмистишие +вольная рифмовка	NA	116	heterodiegetic	TRUE
32	NA	Соколова Т.	Сновиденье	Приснился мне ужасный сон	NA	Стихотворения Таисии Соколовой. Ч. 1	М.	1841	NA	NA	NA	30-31	col	NA	periphery	Я	Я4	reg	м-ж	rhymed	FALSE	unreg	вольная рифмовка	NA	44	homodiegetic	TRUE
33	NA	Соколова Т.	Рыбак	Поет Сирена молодая	NA	Стихотворения Таисии Соколовой. Ч. 1	М.	1841	NA	NA	NA	50-51	col	NA	periphery	Я	Я4	reg	жмжм	rhymed	TRUE	Я4AbAb	катрен	NA	24	heterodiegetic	TRUE
34	NA	Соколова Т.	Рассказ	Я ныне в страхе пробудилась	NA	Стихотворения Таисии Соколовой. Ч. 1	М.	1841	NA	NA	NA	67-69	col	NA	periphery	Я	Я4	reg	жмжм	rhymed	FALSE	Я4AbAb	четверостишие	NA	52	homodiegetic	TRUE
35	NA	Соколова Т.	Последнее свидание	Стояла дева молодая	NA	Стихотворения Таисии Соколовой. Ч. 1	М.	1841	NA	NA	NA	73-75	col	NA	periphery	Я	Я42	reg	жмжм	rhymed	FALSE	Я42AbAb	четверостишие	NA	64	heterodiegetic	FALSE
36	NA	Соколова Т.	Эдвин и Лора	Страстью отрадно	Баллада	Стихотворения Таисии Соколовой. Ч. 2	М.	1841	NA	NA	NA	169-182	col	NA	periphery	Д	Д2	reg	ж-м	rhymed	TRUE	unreg	вольная рифмовка с холостыми	NA	320	heterodiegetic	TRUE
38	Траум	Бочаров И. П.	Бесценный дар	Кто там, при бледном звезд сиянье	Баллада (Подражание Уланду)	Сын отечества	СПб.	1840	I	NA	I	300-301	per	L. Uhland	periphery	Я	Я4+Я6	reg	ж-м	rhymed	TRUE	Я4unreg+Я6aBBa	восьмистишие + катрен	NA	40	heterodiegetic	TRUE
39	NA	Бочаров И. П.	Золотое скудо	Эх, наш Вильгельм король скупой!	NA	Стихотворения И. Бочарова	СПб.	1841	NA	NA	NA	3-7	col	NA	periphery	Я	Я4	reg	м-ж	rhymed	TRUE	unreg	свободные строфы	превалирует катрен с перекрестной рифм.	116	heterodiegetic	TRUE
41	NA	Бочаров И. П.	У колыбели	Спи, малютка; спи, мой ангел	NA	Стихотворения И. Бочарова	СПб.	1841	NA	NA	NA	40-41	col	NA	periphery	Х	Х4	reg	ж	unrhymed	TRUE	unreg	unreg	неравное количество стихов в строфе, все женские окончания, кроме баюшки-баю (рефрен в конце строф)	35	mixed	FALSE
42	NA	Градцев А.Ф.	Черкес	Покинув Аулы, Черкес черноокий	NA	Цветы музы, сочинение Александра Градцева	СПб.	1842	NA	NA	NA	31-34	col	NA	periphery	ПМК	Ам4+Х43	reg	жмжм+мжмж	rhymed	FALSE	Ам4AbAb+Х43aBaB	четверостишие	NA	48	heterodiegetic	FALSE
43	NA	Ленский Д. Т.	Баллада	Уж солнца позднего лучами	баллада	Литературный кабинет. [Ч. 1 Ч. 2, Проза. Стихотворения] : Тр. артистов имп. моск. театров	М.	1842	NA	NA	NA	15-16	col	NA	BP	ПМК	Я4+Х4	reg	жмжм+жж	rhymed	TRUE	Я4AbAb+Х4CC	графически 12 строк+2 рефрен	рефрен в сконце строф Х4	42	heterodiegetic	FALSE
44	NA	Лермонтов М. Ю.	Любовь мертвеца	Пускай холодною землею	NA	Стихотворения М.Лермонтова Ч. 2	СПб.	1842	NA	NA	NA	215-217	col	NA	canon	Я	Я42	reg	жмжмжмжм	rhymed	TRUE	Я42AbAbCdCd	восьмистишие	NA	40	homodiegetic	FALSE
45	NA	Лермонтов М. Ю.	Соседка	Не дождаться мне видно свободы	NA	Стихотворения М.Лермонтова Ч. 2	СПб.	1842	NA	NA	NA	129-131	col	NA	canon	Ан	Ан3	reg	жжмм	rhymed	TRUE	Ан3AAbb	четверостишие	NA	36	homodiegetic	FALSE
47	NA	Любимов Н.	Кинжал	На мрамор холодный склонившись главой	NA	Стихотворения Николая Любимова	М.	1842	NA	NA	NA	42	col	NA	periphery	Ам	Ам4443	reg	мм/жж	rhymed	FALSE	unreg	двустишие	NA	10	heterodiegetic	FALSE
48	NA	Любимов Н.	Камилла и Эдвин	Ты не скрывай слезы своей	NA	Стихотворения Николая Любимова	М.	1842	NA	NA	NA	56-58	col	NA	periphery	Я	Я43	reg	жмжм	rhymed	TRUE	Я43AbAb	катрен	NA	52	heterodiegetic	TRUE
49	NA	Любимов Н.	Тень Конвалея	Завесили тучи свод ясный небес	Малороссийское предание	Стихотворения Николая Любимова	М.	1842	NA	NA	NA	59-61	col	NA	periphery	Ам	Ам442	reg	ммж	rhymed	TRUE	Ам442aaO	трехстишие	NA	42	heterodiegetic	FALSE
50	NA	Майков А. Н.	*** (LXXV)	Я знаю отчего у этих берегов	NA	Стихотворения Аполлона Майкова	СПб.	1842	NA	NA	NA	161	col	NA	canon	Я	Я6	reg	ммжж	rhymed	FALSE	Я6aaBB	двустишие	NA	12	heterodiegetic	FALSE
51	NA	Майков А. Н.	Мститель	Не пускайся в море сине	Скандинавская баллада	Стихотворения Аполлона Майкова	СПб.	1842	NA	NA	NA	149-153	col	NA	canon	ПМК	Х4+Я4-6	reg	ж-м	rhymed	FALSE	unreg	вольная рифмовка	NA	96	heterodiegetic	TRUE
52	NA	Молчанов Н.	Дитя	Ах, что с тобой	NA	Стихотворения Николая Молчанова : Т. 1	СПб.	1842	NA	NA	NA	121	col	NA	periphery	Я	Я2	reg	м	rhymed	FALSE	unreg	пятистишие гарфически	abab + один холостой стих	27	homodiegetic	TRUE
53	NA	Молчанов Н.	Виктор и Георгина или Урна в бору	Не узнает никто, я как сокол примчусь	NA	Стихотворения Николая Молчанова : Т. 1	СПб.	1842	NA	NA	NA	129-137	col	NA	periphery	Ан	Ан4	unreg	м	rhymed	FALSE	unreg	вольная рифмовка	NA	217	mixed	TRUE
54	NA	<Ступин Н.>	Жених-мертвец	Светит месяц за горою	Баллада	Стихотворения Н. С.	СПб.	1842	NA	NA	NA	3-12	col	NA	periphery	Х	Х4	reg	жмжм	rhymed	TRUE	Х4AbAb	катрен	NA	140	heterodiegetic	TRUE
55	NA	Румянцев Г.	Осетинец	Питомец гор, питомец воли	NA	Литературный кабинет. [Ч. 1 Ч. 2, Проза. Стихотворения] : Тр. артистов имп. моск. театров	М.	1842	NA	NA	NA	43-44	col	NA	periphery	ПМК	Я4+Х4	reg	ж-м	rhymed	FALSE	unreg	вольная рифмовка	NA	45	mixed	TRUE
56	NA	Воронов Н.	Песня	Меж гранитными скалами	NA	Стихотворения Николая Воронова за 1841 год.	СПб.	1842	NA	NA	NA	7-9	col	NA	periphery	Х	Х4	reg	жмжм	rhymed	TRUE	Х4AbAb	восьмистишие графически	NA	32	heterodiegetic	TRUE
57	NA	Воронов Н.	Я помню	Я помню ночь одну	NA	Стихотворения Николая Воронова за 1841 год	СПб.	1842	NA	NA	NA	31-32	col	NA	periphery	Я	Я3	reg	мммм	rhymed	TRUE	Я3abab	катрен	NA	24	homodiegetic	FALSE
58	NA	Колотенко Н.	Разрытая могила	Било полночь...Стук лопаты	NA	Стихотворения в Двух частях. Издал Н. Колотенко	Одесса	1843	NA	NA	NA	24-25	col	NA	periphery	Х	Х4	reg	жмжм	rhymed	FALSE	Х4AbAb	четевростишие	NA	36	heterodiegetic	FALSE
59	NA	<Токарев Г.А.>	Борджио	В поле мрачно, в поле черно	Баллада	Опечатки	М.	1843	NA	NA	NA	31-37	col	NA	periphery	ПМК	Х4+Ам5-6	reg	жмжм+ж-м	rhymed	FALSE	Х4AbAb+unreg	катрен+вольная рифмовка	NA	86	heterodiegetic	FALSE
60	NA	<Токарев Г.А.>	Гитара	Вот, закинув плащ широкий	NA	Опечатки	М.	1843	NA	NA	NA	39-41	col	NA	periphery	Х	Х4	reg	жмжм	rhymed	TRUE	Х4AbAb	катрен	NA	36	heterodiegetic	TRUE
61	NA	<Токарев Г.А.>	Кладбище	Ветер воет на кладбище	NA	Опечатки	М.	1843	NA	NA	NA	55-57	col	NA	periphery	Х	Х4	reg	жмжм	rhymed	TRUE	Х4AbAb	катрен	NA	44	heterodiegetic	TRUE
63	NA	Жмакин В.А.	Гирей	Полнеба тучами покрылось	Киевский рассказ	Часы досуга: Стихотворения В. Жмакина	Казань	1843	NA	NA	NA	43-51	col	NA	periphery	Я	Я4	reg	ж-м	rhymed	FALSE	unreg	четверостишие	AbAb/aBBa/AbbA	220	heterodiegetic	TRUE
64	NA	Анненкова В. Н.	Русалка	Был вечер, над синей рекой	NA	Для избранных: Стихотворения Варвары Анненковой	М.	1844	NA	NA	NA	199-201	col	NA	periphery	Ам	Ам3	reg	ммжж	rhymed	TRUE	Ам3aaBB (unreg)	свободные строфы	превалирует четверостишие aaBB	48	heterodiegetic	TRUE
65	NA	Анненкова В. Н.	Баллада. Югельский барон	До рассвета поднявшись, перо очинил	баллада	Для избранных: Стихотворения Варвары Анненковой	М.	1844	NA	NA	NA	193-195	col	NA	canon	Ан	Ан43	reg	мммм	rhymed	FALSE	Ан43abab	четверостишие	NA	44	heterodiegetic	TRUE
66	NA	Лермонтов М. Ю.	Незабудка	В старинны годы люди были	сказка	Стихотворения М.Лермонтова Ч. 4	СПб.	1844	NA	NA	NA	163-166	col	NA	canon	Я	Я4	reg	ж-м	rhymed	FALSE	unreg	вольная рифмовка	NA	62	heterodiegetic	TRUE
